feature,correct_mean,incorrect_mean,mean_diff,correct_median,incorrect_median,median_diff,correct_std,incorrect_std,n_correct,n_incorrect
Vol.,7439163.265306123,7066015.779092702,-373147.4862134205,6160000.0,6040000.0,-120000.0,6224641.867136449,6359470.133525054,490,507
Open,25.9254693877551,25.775996055226827,-0.14947333252827377,25.59,25.51,-0.0799999999999983,3.985255324840988,3.9752975308123077,490,507
High,26.18018367346939,26.046587771203153,-0.13359590226623652,25.8,25.7,-0.10000000000000142,3.974768294225455,3.9967460571252964,490,507
ma_20,25.859279591836735,25.74004142011834,-0.11923817171839346,25.67625,25.5365,-0.13974999999999937,3.800910048759989,3.8954826801722646,490,507
Low,25.66589795918367,25.55258382642998,-0.11331413275368973,25.41,25.29,-0.120000000000001,3.9748883676876576,3.9860875929649717,490,507
Price,25.906061224489797,25.795325443786982,-0.11073578070281442,25.6,25.54,-0.060000000000002274,3.980897561482448,4.007238219131122,490,507
ma_5,25.889379591836732,25.78433530571992,-0.10504428611681149,25.578999999999997,25.552,-0.02699999999999747,3.946791222730165,3.966967058382082,490,507
ma_10,25.86999795918367,25.772483234714006,-0.09751472446966503,25.63,25.525,-0.10500000000000043,3.8763733253467785,3.952446773737035,490,507
Change %,-0.0007551020408163141,0.06349112426035503,0.06424622630117134,-0.04,0.08,0.12,1.5702883044604405,1.4039348435314012,490,507
volume_change,0.12662469518821165,0.10351712134288556,-0.023107573845326093,0.005514743135069351,0.0083333333333333,0.0028185901982639497,0.6692812974087855,0.7966580740617356,490,507
volatility_5,0.012372977510372586,0.011473845845924174,-0.0008991316644484122,0.00962283990758795,0.009783409703831,0.00016056979624304996,0.009445201568047708,0.007647379088430584,490,507
return_1d,-8.297803917827343e-06,0.0006351444764235964,0.0006434422803414237,-0.0004018209645187,0.0008413967185527,0.0012432176830714,0.01570377877029006,0.01404014236687449,490,507
return_lag_1,0.000622306511151157,3.6537069715007793e-05,-0.0005857694414361492,0.0,0.0007754943776656,0.0007754943776656,0.01567449427566313,0.014071398373330058,490,507
return_lag_5,0.0005073172497171085,0.0001104954954656759,-0.0003968217542514326,0.00038647863964295,0.0004286326618088,4.2154022165850024e-05,0.015052580639296844,0.014696153997492524,490,507
volatility_10,0.012955275723954498,0.012586963064265199,-0.0003683126596892988,0.0112497535649283,0.0109218447565301,-0.0003279088083981991,0.007728383283638419,0.007273470617457839,490,507
return_lag_3,0.00043498815499942327,0.00020487065027502234,-0.00023011750472440092,0.00038933762127675,0.0003968253968253,7.48777554855e-06,0.015200219391838441,0.014573256177948168,490,507
