feature,perm_importance_mean_all,perm_importance_std_all,perm_importance_mean_error_weighted,perm_importance_std_error_weighted,rank_all,rank_err,rank_diff
volume_change,0.002407221664995007,0.00345128395869313,-0.016396694214876033,0.004530734994779978,5.5,15.0,-9.5
ma_5,-0.0008024072216649802,0.001474116194252668,-0.006082644628099182,0.0021788108500210394,15.0,9.0,6.0
ma_20,1.1102230246251566e-17,0.0022872124876612567,-0.005818181818181828,0.002198782036140948,13.5,8.0,5.5
return_lag_3,0.003811434302908745,0.002721095279087363,-0.005355371900826455,0.0023505968706950303,2.0,7.0,-5.0
return_lag_1,0.001805416248746261,0.0013306418416671704,-0.010247933884297528,0.002232323043455745,8.0,12.0,-4.0
volatility_5,1.1102230246251566e-17,0.0020060180541624896,-0.007404958677685957,0.0009256198347107407,13.5,10.0,3.5
ma_10,0.001604814443330016,0.0016296967712409191,-0.005289256198347109,0.0026197173892441596,9.0,6.0,3.0
Open,0.0022066198595787623,0.000982744129501779,-0.0019173553719008362,0.0017036824762611752,7.0,4.0,3.0
return_1d,0.0014042126379137597,0.0010228725202793916,-0.012231404958677694,0.0022225105869714606,10.0,13.0,-3.0
Change %,0.0006018054162487685,0.0025845734657422483,-0.015669421487603315,0.0026495821367952185,11.0,14.0,-3.0
Price,0.0026078234704112525,0.001501166454071782,6.611570247933019e-05,0.0013614056384776195,3.5,1.0,2.5
volatility_10,0.004012036108325001,0.0016783551184234302,-0.0002644628099173596,0.0014694949270011857,1.0,2.0,-1.0
Low,2.2204460492503132e-17,0.0014184689692809352,-0.008462809917355374,0.0018058182193385322,12.0,11.0,1.0
Vol.,0.0026078234704112525,0.0008024072216649997,-0.000727272727272732,0.0006742505141940926,3.5,3.0,0.5
High,0.002407221664995007,0.0010228725202793938,-0.002644628099173557,0.0019724210102712416,5.5,5.0,0.5
return_lag_5,-0.0014042126379137266,0.003941200141301605,-0.017388429752066125,0.004761248763606962,16.0,16.0,0.0
