Date,Price,Open,High,Low,Vol.,Change %
2018-10-03,35.67,35.75,35.91,35.47,5080000.0,-0.45
2018-10-02,35.83,35.95,36.32,35.59,5860000.0,-0.56
2018-10-01,36.03,35.71,36.16,35.63,7280000.0,0.9
2018-09-30,35.71,35.14,35.71,35.14,3610000.0,1.97
2018-09-27,35.02,35.22,35.47,35.02,3720000.0,-0.79
2018-09-26,35.3,35.22,35.42,34.94,4870000.0,0.23
2018-09-25,35.22,34.53,35.22,34.53,7570000.0,2.59
2018-09-20,34.33,33.76,34.41,33.68,5220000.0,1.69
2018-09-19,33.76,33.23,33.8,33.11,4350000.0,1.47
2018-09-18,33.27,33.6,33.6,33.03,7830000.0,-0.75
2018-09-17,33.52,32.87,33.6,32.54,7000000.0,1.73
2018-09-16,32.95,33.68,33.84,32.91,4230000.0,-2.28
2018-09-13,33.72,33.92,34.0,33.35,4360000.0,-1.17
2018-09-12,34.12,34.29,34.57,33.64,4059999.9999999995,-0.26
2018-09-11,34.21,33.92,34.53,33.72,4220000.0,0.85
2018-09-10,33.92,34.04,34.29,33.72,4010000.0,0.24
2018-09-09,33.84,34.0,34.04,33.15,3040000.0,0.0
2018-09-06,33.84,34.12,34.17,32.62,12810000.0,-1.08
2018-09-05,34.21,35.22,35.26,33.03,7380000.0,-2.98
2018-09-04,35.26,34.61,35.42,34.61,3520000.0,1.53
2018-09-03,34.73,34.53,34.86,34.53,2280000.0,0.58
2018-09-02,34.53,34.57,34.77,34.33,1450000.0,-0.12
2018-08-30,34.57,34.9,34.9,34.57,2350000.0,-1.06
2018-08-29,34.94,34.94,34.94,34.57,5120000.0,0.0
2018-08-28,34.94,34.69,35.02,34.65,3130000.0,0.84
2018-08-27,34.65,34.65,35.1,34.45,4300000.0,0.23
2018-08-26,34.57,34.33,34.73,34.33,2350000.0,1.32
2018-08-16,34.12,33.8,34.25,33.64,7690000.0,0.95
2018-08-15,33.8,34.17,34.29,33.48,4070000.0000000005,-1.2
2018-08-14,34.21,34.12,34.61,33.92,6760000.0,0.26
2018-08-13,34.12,34.98,35.18,33.76,6530000.0,-2.57
2018-08-12,35.02,35.38,35.42,34.94,3410000.0,-1.27
2018-08-09,35.47,35.51,35.59,35.26,5750000.0,-0.11
2018-08-08,35.51,35.75,35.83,35.51,5100000.0,-0.56
2018-08-07,35.71,35.71,35.75,35.42,5690000.0,0.11
2018-08-06,35.67,35.42,35.75,35.42,3720000.0,0.34
2018-08-05,35.55,35.34,35.75,35.34,2930000.0,0.37
2018-08-02,35.42,35.75,35.91,35.42,5650000.0,-0.81
2018-08-01,35.71,35.83,36.08,35.71,4680000.0,-0.56
2018-07-31,35.91,36.08,36.36,35.91,4099999.9999999995,-0.47
2018-07-30,36.08,36.08,36.28,35.91,4560000.0,-0.22
2018-07-29,36.16,36.36,36.36,35.91,3060000.0,-0.33
2018-07-26,36.28,36.56,36.64,36.08,5590000.0,-0.44
2018-07-25,36.44,35.95,36.48,35.95,3250000.0,1.0
2018-07-24,36.08,36.36,36.36,35.91,2860000.0,-0.77
2018-07-23,36.36,36.32,36.56,36.24,5730000.0,0.66
2018-07-22,36.12,35.95,36.2,35.91,3530000.0,0.58
2018-07-19,35.91,35.87,36.12,35.75,4340000.0,-1.99
2018-07-18,36.64,36.56,36.73,36.28,4790000.0,0.33
2018-07-17,36.52,36.44,36.64,36.28,5580000.0,0.55
2018-07-16,36.32,35.83,36.36,35.79,9340000.0,1.94
2018-07-15,35.63,35.34,35.63,35.34,2560000.0,0.45
2018-07-12,35.47,35.47,35.47,35.14,5150000.0,-0.34
2018-07-11,35.59,35.75,35.91,35.34,3450000.0,-0.45
2018-07-10,35.75,35.26,36.03,35.26,6790000.0,1.39
2018-07-09,35.26,34.57,35.3,34.53,4580000.0,2.47
2018-07-08,34.41,34.37,34.61,34.04,6320000.0,0.12
2018-07-05,34.37,34.9,34.9,34.33,5420000.0,-1.41
2018-07-04,34.86,34.73,35.14,34.53,6280000.0,0.0
2018-07-03,34.86,35.06,35.14,34.69,6950000.0,-0.57
2018-07-02,35.06,35.26,35.26,34.98,5780000.0,-0.57
2018-07-01,35.26,35.18,35.42,35.06,3740000.0,0.57
2018-06-28,35.06,35.34,35.38,34.94,6490000.0,-0.57
2018-06-27,35.26,35.42,35.51,35.14,4520000.0,-0.45
2018-06-26,35.42,35.42,35.51,34.98,3580000.0,-0.14
2018-06-25,35.47,35.67,35.75,35.3,6160000.0,-0.34
2018-06-24,35.59,34.94,35.75,34.94,5600000.0,2.36
2018-06-21,34.77,34.77,35.02,34.25,8090000.0,0.46
2018-06-20,34.61,35.42,35.47,34.53,6690000.0,-2.07
2018-06-12,35.34,35.3,35.51,35.02,5280000.0,0.11
2018-06-11,35.3,35.26,35.59,35.14,3590000.0,0.0
2018-06-10,35.3,35.55,35.55,34.9,5360000.0,-0.34
2018-06-07,35.42,35.47,35.71,35.14,7080000.0,-0.37
2018-06-06,35.55,35.79,36.16,35.3,9350000.0,-0.67
2018-06-05,35.79,35.99,36.32,35.55,8470000.0,-0.56
2018-06-04,35.99,36.48,37.54,35.95,10190000.0,-1.45
2018-06-03,36.52,35.02,36.52,35.02,11400000.0,5.15
2018-05-31,34.73,34.12,34.73,34.04,9470000.0,2.27
2018-05-30,33.96,33.88,34.41,33.84,6730000.0,-0.35
2018-05-29,34.08,33.72,34.21,33.72,6040000.0,1.07
2018-05-28,33.72,33.64,33.92,33.6,5090000.0,0.24
2018-05-27,33.64,33.8,33.96,33.64,3500000.0,-0.27
2018-05-24,33.73,33.64,34.04,33.6,5390000.0,0.27
2018-05-23,33.64,33.6,33.88,33.56,4210000.0,-0.59
2018-05-22,33.84,33.68,33.92,33.6,4480000.0,0.65
2018-05-21,33.62,33.52,33.68,33.48,3460000.0,0.33
2018-05-20,33.51,33.52,33.72,33.39,3930000.0,0.12
2018-05-17,33.47,33.19,33.68,33.15,5700000.0,0.87
2018-05-16,33.18,33.6,33.64,33.07,5520000.0,-1.16
2018-05-15,33.57,33.88,34.0,33.52,4990000.0,-0.39
2018-05-14,33.7,33.35,33.8,33.19,40590000.0,1.29
2018-05-13,33.27,32.87,33.52,32.87,5050000.0,1.62
2018-05-10,32.74,32.54,32.91,32.42,6630000.0,0.46
2018-05-09,32.59,33.35,33.52,32.5,7260000.0,-2.28
2018-05-08,33.35,33.64,33.84,33.19,5680000.0,-0.8
2018-05-07,33.62,33.68,33.72,33.39,4810000.0,-0.06
