Date,Price,Open,High,Low,Vol.,Change %
10/3/2018,35.67,35.75,35.91,35.47,5.08M,-0.45%
10/2/2018,35.83,35.95,36.32,35.59,5.86M,-0.56%
10/1/2018,36.03,35.71,36.16,35.63,7.28M,0.90%
9/30/2018,35.71,35.14,35.71,35.14,3.61M,1.97%
9/27/2018,35.02,35.22,35.47,35.02,3.72M,-0.79%
9/26/2018,35.3,35.22,35.42,34.94,4.87M,0.23%
9/25/2018,35.22,34.53,35.22,34.53,7.57M,2.59%
9/20/2018,34.33,33.76,34.41,33.68,5.22M,1.69%
9/19/2018,33.76,33.23,33.8,33.11,4.35M,1.47%
9/18/2018,33.27,33.6,33.6,33.03,7.83M,-0.75%
9/17/2018,33.52,32.87,33.6,32.54,7.00M,1.73%
9/16/2018,32.95,33.68,33.84,32.91,4.23M,-2.28%
9/13/2018,33.72,33.92,34,33.35,4.36M,-1.17%
9/12/2018,34.12,34.29,34.57,33.64,4.06M,-0.26%
9/11/2018,34.21,33.92,34.53,33.72,4.22M,0.85%
9/10/2018,33.92,34.04,34.29,33.72,4.01M,0.24%
9/9/2018,33.84,34,34.04,33.15,3.04M,0.00%
9/6/2018,33.84,34.12,34.17,32.62,12.81M,-1.08%
9/5/2018,34.21,35.22,35.26,33.03,7.38M,-2.98%
9/4/2018,35.26,34.61,35.42,34.61,3.52M,1.53%
9/3/2018,34.73,34.53,34.86,34.53,2.28M,0.58%
9/2/2018,34.53,34.57,34.77,34.33,1.45M,-0.12%
8/30/2018,34.57,34.9,34.9,34.57,2.35M,-1.06%
8/29/2018,34.94,34.94,34.94,34.57,5.12M,0.00%
8/28/2018,34.94,34.69,35.02,34.65,3.13M,0.84%
8/27/2018,34.65,34.65,35.1,34.45,4.30M,0.23%
8/26/2018,34.57,34.33,34.73,34.33,2.35M,1.32%
8/16/2018,34.12,33.8,34.25,33.64,7.69M,0.95%
8/15/2018,33.8,34.17,34.29,33.48,4.07M,-1.20%
8/14/2018,34.21,34.12,34.61,33.92,6.76M,0.26%
8/13/2018,34.12,34.98,35.18,33.76,6.53M,-2.57%
8/12/2018,35.02,35.38,35.42,34.94,3.41M,-1.27%
8/9/2018,35.47,35.51,35.59,35.26,5.75M,-0.11%
8/8/2018,35.51,35.75,35.83,35.51,5.10M,-0.56%
8/7/2018,35.71,35.71,35.75,35.42,5.69M,0.11%
8/6/2018,35.67,35.42,35.75,35.42,3.72M,0.34%
8/5/2018,35.55,35.34,35.75,35.34,2.93M,0.37%
8/2/2018,35.42,35.75,35.91,35.42,5.65M,-0.81%
8/1/2018,35.71,35.83,36.08,35.71,4.68M,-0.56%
7/31/2018,35.91,36.08,36.36,35.91,4.10M,-0.47%
7/30/2018,36.08,36.08,36.28,35.91,4.56M,-0.22%
7/29/2018,36.16,36.36,36.36,35.91,3.06M,-0.33%
7/26/2018,36.28,36.56,36.64,36.08,5.59M,-0.44%
7/25/2018,36.44,35.95,36.48,35.95,3.25M,1.00%
7/24/2018,36.08,36.36,36.36,35.91,2.86M,-0.77%
7/23/2018,36.36,36.32,36.56,36.24,5.73M,0.66%
7/22/2018,36.12,35.95,36.2,35.91,3.53M,0.58%
7/19/2018,35.91,35.87,36.12,35.75,4.34M,-1.99%
7/18/2018,36.64,36.56,36.73,36.28,4.79M,0.33%
7/17/2018,36.52,36.44,36.64,36.28,5.58M,0.55%
7/16/2018,36.32,35.83,36.36,35.79,9.34M,1.94%
7/15/2018,35.63,35.34,35.63,35.34,2.56M,0.45%
7/12/2018,35.47,35.47,35.47,35.14,5.15M,-0.34%
7/11/2018,35.59,35.75,35.91,35.34,3.45M,-0.45%
7/10/2018,35.75,35.26,36.03,35.26,6.79M,1.39%
7/9/2018,35.26,34.57,35.3,34.53,4.58M,2.47%
7/8/2018,34.41,34.37,34.61,34.04,6.32M,0.12%
7/5/2018,34.37,34.9,34.9,34.33,5.42M,-1.41%
7/4/2018,34.86,34.73,35.14,34.53,6.28M,0.00%
7/3/2018,34.86,35.06,35.14,34.69,6.95M,-0.57%
7/2/2018,35.06,35.26,35.26,34.98,5.78M,-0.57%
7/1/2018,35.26,35.18,35.42,35.06,3.74M,0.57%
6/28/2018,35.06,35.34,35.38,34.94,6.49M,-0.57%
6/27/2018,35.26,35.42,35.51,35.14,4.52M,-0.45%
6/26/2018,35.42,35.42,35.51,34.98,3.58M,-0.14%
6/25/2018,35.47,35.67,35.75,35.3,6.16M,-0.34%
6/24/2018,35.59,34.94,35.75,34.94,5.60M,2.36%
6/21/2018,34.77,34.77,35.02,34.25,8.09M,0.46%
6/20/2018,34.61,35.42,35.47,34.53,6.69M,-2.07%
6/12/2018,35.34,35.3,35.51,35.02,5.28M,0.11%
6/11/2018,35.3,35.26,35.59,35.14,3.59M,0.00%
6/10/2018,35.3,35.55,35.55,34.9,5.36M,-0.34%
6/7/2018,35.42,35.47,35.71,35.14,7.08M,-0.37%
6/6/2018,35.55,35.79,36.16,35.3,9.35M,-0.67%
6/5/2018,35.79,35.99,36.32,35.55,8.47M,-0.56%
6/4/2018,35.99,36.48,37.54,35.95,10.19M,-1.45%
6/3/2018,36.52,35.02,36.52,35.02,11.40M,5.15%
5/31/2018,34.73,34.12,34.73,34.04,9.47M,2.27%
5/30/2018,33.96,33.88,34.41,33.84,6.73M,-0.35%
5/29/2018,34.08,33.72,34.21,33.72,6.04M,1.07%
5/28/2018,33.72,33.64,33.92,33.6,5.09M,0.24%
5/27/2018,33.64,33.8,33.96,33.64,3.50M,-0.27%
5/24/2018,33.73,33.64,34.04,33.6,5.39M,0.27%
5/23/2018,33.64,33.6,33.88,33.56,4.21M,-0.59%
5/22/2018,33.84,33.68,33.92,33.6,4.48M,0.65%
5/21/2018,33.62,33.52,33.68,33.48,3.46M,0.33%
5/20/2018,33.51,33.52,33.72,33.39,3.93M,0.12%
5/17/2018,33.47,33.19,33.68,33.15,5.70M,0.87%
5/16/2018,33.18,33.6,33.64,33.07,5.52M,-1.16%
5/15/2018,33.57,33.88,34,33.52,4.99M,-0.39%
5/14/2018,33.7,33.35,33.8,33.19,40.59M,1.29%
5/13/2018,33.27,32.87,33.52,32.87,5.05M,1.62%
5/10/2018,32.74,32.54,32.91,32.42,6.63M,0.46%
5/9/2018,32.59,33.35,33.52,32.5,7.26M,-2.28%
5/8/2018,33.35,33.64,33.84,33.19,5.68M,-0.80%
5/7/2018,33.62,33.68,33.72,33.39,4.81M,-0.06%
5/6/2018,33.64,33.64,33.92,33.56,4.97M,0.45%
5/3/2018,33.49,33.31,33.72,33.11,6.82M,0.57%
5/2/2018,33.3,33.48,33.56,33.27,5.17M,-0.57%
5/1/2018,33.49,33.96,33.96,33.27,9.35M,-1.88%
4/30/2018,34.13,34.04,34.29,33.96,4.77M,0.21%
4/29/2018,34.06,34.08,34.33,34,4.61M,0.06%
4/26/2018,34.04,33.92,34.12,33.6,5.64M,0.27%
4/25/2018,33.95,34.17,34.41,33.84,6.82M,-0.79%
4/24/2018,34.22,34.53,34.73,34,6.71M,-0.87%
4/23/2018,34.52,34.33,34.65,34,6.68M,0.76%
4/22/2018,34.26,34.21,34.77,34.08,5.82M,0.15%
4/19/2018,34.21,33.35,34.45,33.35,8.62M,2.67%
4/18/2018,33.32,33.11,33.39,32.99,10.34M,0.66%
4/17/2018,33.1,32.87,33.19,32.78,8.08M,0.85%
4/16/2018,32.82,32.05,32.87,31.97,12.42M,2.76%
4/15/2018,31.94,31.57,32.09,31.57,6.49M,1.75%
4/12/2018,31.39,31.04,31.48,30.96,7.65M,1.23%
4/11/2018,31.01,31.28,31.73,30.79,10.81M,-0.99%
4/10/2018,31.32,31.77,31.81,31.24,11.14M,-1.07%
4/9/2018,31.66,31.73,32.46,31.61,11.84M,-0.06%
4/8/2018,31.68,31.52,31.77,31.36,5.55M,0.28%
4/5/2018,31.59,31.04,31.65,31.04,9.49M,2.27%
4/4/2018,30.89,30.63,31.04,30.63,9.08M,1.05%
4/3/2018,30.57,30.1,30.67,30.1,6.11M,0.07%
4/2/2018,30.55,30.43,30.63,30.1,6.94M,0.63%
4/1/2018,30.36,30.63,31.04,30.27,6.59M,-0.98%
3/29/2018,30.66,30.88,31.2,30.14,15.09M,0.59%
3/28/2018,30.48,31.2,31.2,30.23,15.60M,-2.12%
3/27/2018,31.14,30.83,31.4,30.83,14.73M,1.24%
3/26/2018,30.76,30.51,30.83,30.27,17.68M,-1.09%
3/25/2018,31.1,30.79,31.28,30.75,8.87M,0.68%
3/22/2018,30.89,30.67,31.16,30.67,24.99M,0.75%
3/21/2018,30.66,30.39,30.79,30.39,13.56M,0.92%
3/20/2018,30.38,29.86,30.55,29.82,19.55M,1.84%
3/19/2018,29.83,29.82,30.06,29.66,20.29M,0.51%
